,actual_answer,predicted_answer,answer_match
504,,,
505,,"are viviparous, giving birth to live young. however, the five species of monotreme, the platypuses and the echidnas, lay eggs. the monotremes have a sex determination system different from that of most other mammals. in particular, the",
506,,"politician fought against statehood for pierluisi? [sep] several days after the referendum, the resident commissioner pedro pierluisi, governor luis fortuno, and governor - elect alejandro garcia padilla wrote separate letters to the president of the united states barack obama addressing the results of the voting. pierluisi urged obama to begin",
507,,"simplifying a number of old prussian names, as well as those polish or lithuanian names originating from colonists and refugees to prussia during and after the protestant reformation. more than 1, 500 places were ordered to be renamed by 16 july 1938 following a decree issued by gauleiter and oberprasident erich koch",
508,provide an easily absorbable form of nitrogen,,0.0
509,,harmony between human habitat,
510,,"ketamine experiences at john lilly's famed sensory deprivation tanks, as a way of studying consciousness. feynman gave up alcohol when he began to show vague, early signs of alcoholism, as he did not want to do anything that could damage his brain — the same reason given in "" o americano, outra vez "" for his reluctance to experiment with lsd. [sep]",
511,dance,"aside from music what other activity plays a significant role in culture? [sep] malian musical traditions are derived from the griots, who are known as "" keepers of memories "".",0.0
512,mathematical treatment,,0.0
513,"faster processors, as well as advances in software noise reduction techniques",,0.0
514,,"united states bureau of land management, approximately 65 % of alaska is owned and managed by the u. s. federal government as public lands, including a multitude of national forests, national",
515,,,
516,assets could be divested,,0.0
517,,"[sep] leakage is equivalent to a resistor in parallel with the capacitor. constant exposure to heat can cause dielectric breakdown and excessive leakage, a problem often seen in older vacuum tube circuits, particularly where oiled paper and foil capacitors were used. in many vacuum",
518,since the forming of the republic of iceland there has never been a government not led by a coalition,"fail or fine gael. political change is often easier with a coalition government than in one - party or two - party dominant systems. [ dubious – discuss ] if factions in a two - party system are in fundamental disagreement on policy goals, or even",0.0
519,the great migration,,0.0
520,,,
521,,"- to - day basis ) consists primarily of state law, which can and does vary greatly from one state to the next. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",
522,,##m for the executive branch of government. the main working office of the,
523,mexican-american border,"mexcians and americans? [sep] stockton and kearny went on to recover los angeles and force the capitulation of alta california with the "" treaty of cahuenga "" on january 13, 1847. as a result of the mexican – american war of 1846 – 48, the territory of alta california, including san diego, was ceded to the united",0.0
524,,,
525,angel in wheelchair,"party officials. the third torchbearer in the paris leg, jin jing, who was disabled and carried the torch on a wheelchair, was assaulted several times by unidentified protestors seemingly from the pro - tibet independent camp. in interviews, jin jing said that she was "" tugged at, scratched "" and "" kicked "", but that she "" did not feel the pain at the time. "" she received praise from ethnic chinese worldwide as "" angel in wheelchair "". the chinese government gave the comment that "" the chinese respect france a lot "" but "" paris [",1.0
526,early childhood care and education,,0.0
527,paris,"in 1548? [sep] the end of medieval drama came about due to a number of factors, including the weakening power of the catholic church, the protestant reformation and the banning of religious plays in many countries. elizabeth i forbid all religious plays in 1558 and the great cycle plays had been silenced by the 1580s. similarly, religious plays were banned in the netherlands in 1539, the papal states in 154",0.0
528,financial,"##8, where it remained until its dissolution in 1806. yet in spite of the extensive territories held by the habsburgs, the empire itself remained fragmented, and much real power and influence lay with the individual principalities. in addition, financial institutions, such as the hanseatic league and the fugger family, held great power, on both economic and a political levels.",1.0
529,the bad weather,"n 8 ] the group traveled first to barcelona, then to marseilles, where they stayed for a few months while chopin convalesced. in may 1839 they headed for the summer to sand's estate at nohant, where they spent most summers until 1846. in autumn they returned to paris, where chopin's apartment at 5 rue tronchet was close to sand's rented accommodation at the rue pigalle. he frequently visited sand in the evenings, but both retained some independence. in 1842 he and sand moved to the square d'orleans, living in adjacent buildings. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",0.0
530,,,
531,ban chao,,0.0
532,structure,"##cation between rings is obvious, what type of difference within the ring might not be? [sep] in the diffuse - porous woods, the demarcation between rings is not always so clear",0.0
533,,,
534,allow her lodge to rejoin their grand lodge,"1882, then resigned to allow her lodge to rejoin their grand lodge. having failed to achieve acceptance from any masonic governing body, she and georges martin started a mixed masonic lodge that actually worked masonic ritual. annie besant spread the phenomenon to the english speaking world. disagreements over ritual led to the formation of exclusively female bodies of freemasons in england, which spread to other countries. meanwhile, the french had re - invented adoption as an all - female",1.0
535,3 years,"anti - submarine air support for convoys and amphibious invasions. following this concept, light aircraft carriers built by the us, such as uss independence, represented a larger, more "" militarized "" version of the escort carrier. although with similar complement to escort carriers, they had the advantage of speed from their converted cruiser hulls. the uk 1942 design light fleet carrier was designed for building quickly by civilian shipyards and with an expected service life of about 3 years. they served the royal navy during the war and was the hull design chosen for nearly all aircraft carrier equipped navies after the war until",1.0
536,war credits,"western communist parties now had to oppose the war, and to vote against war credits. although the french communists had unanimously voted in parliament for war credits on 2 september and on 19 september declared their "" unshakeable will "" to defend the country, on 27 september the comintern formally instructed the party to condemn the war as imperialist. by 1 october the french communists advocated listening to german peace proposals",1.0
537,frank chalk,,0.0
538,1955,"gop's potential candidates ; the group, in addition to his doctor, concluded a second term was well advised, and he announced in february 1956 he would run again. eisenhower was publicly noncommittal about nixon's repeating as the vice president on his ticket ; the question was an especially important one in light of his heart condition. he personally favored robert b. anderson, a democrat, who rejected his offer ; eisenhower then resolved to leave the matter in the hands of the party. in 1956, eisenhower faced adlai",0.0
539,,"europe has a greater history of unitary states than north america, thus european "" federalism "" argues for a weaker central government, relative to a unitary state. the modern american usage of the word is much closer to the european sense. as the power of the federal government has increased, some people have perceived a much more unitary state than they believe the founding fathers",
540,greenback,,0.0
541,,"the united kingdom and republic of ireland. following the announcement of the start of filming, paramount pictures brought forward the release of mission : impossible – rogue nation to avoid competing with spectre. in march 2015 imax corporation announced that spectre would be screened in its cinemas, following skyfall's success with the company. in the uk it received a wider release than skyfall, with a minimum of 647 cinemas including 40 imax screens, compared to skyfall's 587 locations and 21",
542,,"##bitschek bridge, also known as the'president j",
543,increased network bandwidth,##point conferencing with no mc,0.0
544,lise meitner,,0.0
545,,,
546,san salvador,,0.0
547,the fbi director,,0.0
548,,"individual patients. for instance, for genotype 1 hepatitis c treated with pegylated interferon - alpha - 2a or pegylated interferon - alpha - 2b ( brand names pegasys or peg - intron ) combined with ribavirin, it has been shown that genetic polymorphisms near the human il28b gene, encoding interferon lambda 3",
549,"in september 1973, it was announced that all foreign oil producers active in libya were to be nationalized.",,0.0
550,nuri al-said,,0.0
551,bailout of banks,,0.0
552,david moyes,group stage and were then eliminated from the uefa cup. everton qualified for the 2007 – 08 and 2008 – 09 uefa cup competitions,0.0
553,1630,"style ), [ b ] was by puritan colonists from england, who had moved over from charlestown earlier that year in quest of fresh water. their settlement was initially limited to the shawmut peninsula, at that time surrounded by the massachusetts bay and charles river and connected to the mainland by a narrow isthmus. the peninsula is known to have been inhabited",0.0
554,,,
555,"over 20,000","##t ) of conventional pesticides, which are used in the agricultural sector ( 80 % of conventional pesticide use ) as well as the industrial, commercial, governmental and home & garden sectors. pesticides are also found in majority of u. s. households with 78 million out of the 105. 5 million households indicating that they use some form of pesticide. as of 2007, there were more than 1, 055 active ingredients registered as pesticides, which yield over 20, 000 pesticide products that are marketed in the united",0.0
556,non-motorized,"? [sep] the procession, held at sundown, consists of a non - motorized parade through downtown tucson featuring many floats, sculptures, and",0.0
557,mbaff,"which encoding contains both progressive and interlaced content? [sep] initially the existing 5 : 3 aspect ratio had been the main candidate but, due to the influence of widescreen cinema, the aspect ratio 16 : 9 ( 1. 78 ) eventually emerged as being a reasonable compromise between 5 : 3 ( 1. 67 ) and the common 1. 85 widescreen cinema format. an aspect ratio of 16 : 9 was duly agreed upon at the first meeting of the iwp11 / 6 working party at the bbc's research and development establishment in kingswood warren. the resulting itu - r",0.0
558,absence of a substance normally produced by the pancreas,"is diabetes caused from? [sep] a series of experiments performed from the late 1800s to the early 1900s revealed that diabetes is caused by the absence of a substance normally produced by the pancreas. in 1869, oskar minkowski and joseph von mering found that diabetes could be induced in dogs by surgical removal of the pancreas. in 1921, canadian professor frederick banting and his student charles best repeated this study, and found that injections of pancreatic extract reversed the symptoms produced by pancreas removal. soon, the extract was demonstrated to work",1.0
559,licensed approval,,0.0
560,,,
561,3,,0.0
562,mortise and tenon,"ships included the use of lateen sails and the stern - post rudder, both of which increased the speed at which ships could be sailed. [sep]",0.0
563,indirect,"vestals in state sacrifices? [sep] the vestals embody the profound connection between domestic cult and the religious life of the community. any householder could rekindle their own household fire from vesta's flame. the vestals cared for the lares and penates of the state that were the equivalent of those enshrined in each home. besides their own festival of vestalia, they participated directly in the rites of parilia, parentalia and fordicidia. indirectly, they played a role in every official sacrifice ; among their duties was the preparation of the mola salsa, the salted flour that was sprinkled on every sacrificial victim as part of its immolation. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
564,near-threatened,,0.0
565,police,", the 11 – 1 occupies a far",0.0
566,,,
567,cultural and career issues,"s. air force have been cited as one of the reasons for the shortfall in needed uav operators. in spite of an urgent need for uavs or drones to provide round the clock coverage for american troops during the iraq war, the usaf did not establish a new career field for piloting them until the last year of that war and in 2014 changed its rpa training syllabus again, in the face",0.0
568,cells in the blood vessel walls,"- brain barrier is made up of what? [sep] the brains of vertebrates are made of very soft tissue. living brain tissue is pinkish on the outside and mostly white on the inside, with subtle variations in color. vertebrate brains are surrounded by a system of connective tissue membranes called meninges that separate the skull from the brain. blood vessels enter the central nervous system through holes in the meningeal layers. the cells in the blood vessel walls are joined tightly to one another, forming the blood – brain barrier, which blocks the passage of many toxins and pathogens ( though at the same time blocking antibodies and some drugs, thereby presenting special challenges in treatment of diseases of the brain ). [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
569,,"sundgau territory ( mostly in upper alsace ) to france in 1646, which had occupied it, for the sum of 1. 2 million thalers. when hostilities were concluded in 1648 with the treaty of westphalia, most of alsace was recognized as part of france, although some towns remained independent. the treaty stipulations regarding alsace were complex ; although the french king gained sovereignty, existing rights and customs of the inhabitants were largely preserved. france continued to maintain its customs border along the vosges mountains where it had been, leaving alsace more economically oriented to neighbouring german - speaking lands. the german language remained in use in local administration, in schools, and at the ( lutheran ) university of strasbourg, which continued to draw students from other german - speaking lands. the 1685 edict of fontainebleau, by which the french king ordered the suppression of french protestantism, was not applied in alsace. france did endeavour to promote catholicism ; strasbourg cathedral, for example,",
570,,"##inton ), nigel osborne ( 1948 -, manchester ), steve martland ( 1954 - 2013, liverpool ), simon holt ( 1958 -, bolton ) and philip cashian ( 1963",
571,valley of mexico,,0.0
572,of the sick man of europe,""" [sep] some regions beyond the ottoman porte were included. one was north",0.0
573,industrial and agricultural applications,". when such mechanisms ( or spiral screws or pneumatic transport ) are used to elevate grain for storage in large vertical silos, the entire structure is called a grain elevator. belt elevators are often used in docks for loading loose materials such as coal, iron ore and grain into the holds of bulk",0.0
574,,"? [sep] an important part of traditional, pre - generative schools of phonology is studying which sounds can be grouped into distinctive units within a language ; these units are known as phonemes. for example, in english, the """,
575,,,
576,,,
577,,##s. the effects of market policies led to the failure of many enterprises and total instability by 1990. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],
578,burned the originals,[pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],0.0
579,34%,,0.0
580,28 april 1738,,0.0
581,germans,"hand. during this time, many churches and monasteries",0.0
582,"they favor biologically-based theories, which point to genetic factors, the early uterine environment, both, or the inclusion of genetic and social factors",sexual orientation. research over several decades has,0.0
583,sr 94,,0.0
584,1756–1763,,0.0
585,scientific results of the beagle voyage,[sep] darwin continued to research and extensively revise his theory while focusing on his main work of publishing the scientific results of the beagle voyage. he tentatively wrote of his ideas to lyell in,1.0
586,,,
587,,,
588,wild ones outside the area,"reprisal from human masters who have made clear that harming co - inhabitants will not be tolerated. pet cats and pet mice, for example, may live together in the same human residence without incident as companions. pet cats and pet dogs under human mastership often depend on each other for warmth, companionship,",0.0
589,commercial,,0.0
590,antiparticles,"½ "" repel "", whereas groups with integer spin "" clump "". this was a brilliantly simplified way of demonstrating how fermi – dirac statistics and bose – einstein statistics evolved as a consequence of studying how fermions and bosons behave under a rotation of 360°. this was also a question he pondered in his more advanced lectures, and to which he demonstrated the solution in the 1986 dirac memorial lecture. in the same lecture, he further explained that antiparticles must exist",1.0
591,the song dynasty,) in tang dynasty and resus,0.0
592,bermuda monetary authority,,0.0
593,church of england in the island,,0.0
594,"525 bc to 402 bc,",,0.0
595,,"- called "" kensington system "", an elaborate set of rules and protocols devised by the duchess and her ambitious and domineering comptroller, sir john con",
596,lin'an,,0.0
597,aboard the battleship uss missouri in tokyo bay,"war culminated in the atomic bombings of hiroshima and nagasaki, and other large aerial bomb attacks by the united states army air forces, accompanied by the soviet invasion of manchuria on 8 august 1945, resulting in the japanese announcement of intent to surrender on 15 august 1945. the formal and official surrender of japan took place aboard the battleship uss missouri in tokyo bay on 2 september 1945. following its defeat, japan's shinto emperor stepped down as the divine leader through the shinto directive, because the allied powers believed this was the major political cause of japan's military aggression and deconstruction process soon took place to install a new liberal - democratic constitution to the japanese public as the",1.0
598,perryville,"[sep] summers in the state are generally hot and humid, with most of the state averaging a high of around 90 °f ( 32 °c ) during the summer months. winters tend to be mild to cool, increasing in coolness at higher elevations. generally, for areas outside the highest mountains, the average overnight lows are near freezing for most of the state. the highest recorded temperature is 113 °f ( 45 °c ) at perryville on august 9, 1930 while the lowest recorded temperature is −32 °f ( −",1.0
599,once,,0.0
600,,"which areas of alaska have the highest democratic concentrations? [sep] the alaska bush, central juneau, midtown and downtown anchorage, and the areas surrounding the university of alaska fairbanks campus and ester have been strongholds of the democratic party. the matanuska - susitna borough, the majority of fairbanks ( including north pole and the military base ), and south anchorage typically have the strongest republican showing. as of 2004 [ update ], well over half of all registered voters have chosen "" non",
601,speaking in tongues and divine healing,,0.0
602,,"when referring to particular instances, such as individual strips or comic books. though the term derives from the humorous ( or comic ) work that pre",
603,vionville,,0.0
604,,"such as ⟨ bʰ ⟩, typically represent consonants with breathy voiced release ( see below ). in the grammatical tradition of sanskrit, aspirated consonants are called voiceless aspirated, and breathy - voiced consonants are called voiced aspirated. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",
605,,"often said "" not to exist "", indeed there are several instances of parliament declaring this to be the case. the prime minister",
606,the iraq war,,0.0
607,1980s,,0.0
608,one million container-capacity,"can longtan containers port area handle? [sep] port of nanjing is the largest inland port in china, with annual cargo tonnage reached 191, 970, 000 t in 2012. the port area is 98 kilometres (",0.0
609,,,
610,cancers,,0.0
611,,", while others believe it should apply to any type of persistent biological interaction ( in other words mutualistic, commensalistic, or parasitic ). after 130 years of debate, current biology and ecology textbooks now use the latter "" de bary "" definition or an even broader definition",
612,its proportion and balance,,0.0
613,90%,,0.0
614,the college dropout,,0.0
615,monotremes,closely related to monotremes than to therian mammals while amphilestes and amphit,1.0
616,,,
617,exploration and commitment,,0.0
618,synchronous optical networking,,0.0
619,1956,"1956 in lisbon. these include the belem cultural centre in lisbon, serralves foundation and the casa da musica, both in porto, as",1.0
620,period up to 2007,"development report by undp was released on october 5, 2009, and covers the period up to 2007. it was titled "" overcoming barriers : human mobility and",1.0
621,ios,"with common audio and image files, leading to the possibility of third party games. apple has not publicly released a software development kit ( sdk ) for ipod - specific development. apps produced with the iphone sdk are compatible only with the ios on the ipod touch and iphone, which cannot run clickwheel - based games. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
622,anti-imperialist,,0.0
